Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,CVEN-342-504,14,7,1,0,0,22,3.59,0,0,0,0,0,22,MARTIN A
2021,Spring,CVEN-342-505,10,9,3,0,0,22,3.318,0,0,0,0,0,22,MARTIN A
2021,Spring,CVEN-342-506,13,5,3,0,0,21,3.476,0,0,0,0,0,21,MARTIN A
2021,Spring,CVEN-345-501,9,4,21,7,1,42,2.255,0,0,0,9,0,51,BIRELY A
2021,Spring,CVEN-345-502,5,12,6,9,3,35,2.2,0,0,0,4,0,39,HURLEBAUS S
2021,Spring,CVEN-349-501,33,25,5,0,0,63,3.444,2,0,0,1,0,66,WALEWSKI J
2021,Spring,CVEN-349-502,20,11,6,1,0,38,3.315,0,0,0,0,0,38,ESMALIAN A
2021,Spring,CVEN-363-501,10,25,23,0,2,60,2.683,1,0,0,1,0,62,NIEDZWECKI J
2021,Spring,CVEN-363-502,5,31,11,1,0,48,2.833,0,0,0,0,0,48,PAAL S
2021,Spring,CVEN-365-501,6,9,3,0,0,18,3.166,0,0,0,0,0,18,BRIAUD J
2021,Spring,CVEN-365-502,6,8,3,1,0,18,3.055,0,0,0,0,0,18,BRIAUD J
2021,Spring,CVEN-365-503,3,12,2,1,0,18,2.944,0,0,0,0,0,18,BRIAUD J
2021,Spring,CVEN-365-504,6,12,2,0,0,20,3.2,0,0,0,0,0,20,BRIAUD J
2021,Spring,CVEN-365-505,6,4,1,1,1,13,3,0,0,0,0,0,13,SANCHEZ CASTILLA M
2021,Spring,CVEN-365-506,1,4,2,0,0,7,2.857,0,0,0,1,0,8,SANCHEZ CASTILLA M
2021,Spring,CVEN-365-507,2,6,0,2,0,10,2.8,0,0,0,0,0,10,SANCHEZ CASTILLA M
2021,Spring,CVEN-365-508,3,4,5,2,0,14,2.571,0,0,0,1,0,15,SANCHEZ CASTILLA M
2021,Spring,CVEN-400-501,20,9,2,0,0,31,3.58,0,0,0,2,0,33,PITTMAN L
2021,Spring,CVEN-400-502,5,11,2,0,0,18,3.166,0,0,0,0,0,18,ROGERS A
2021,Spring,CVEN-400-503,16,18,1,0,0,35,3.428,0,0,0,0,0,35,ROGERS A
2021,Spring,CVEN-400-504,10,20,4,0,0,34,3.176,0,0,0,0,0,34,PITTMAN L
2021,Spring,CVEN-402-500,2,5,3,1,0,11,2.727,0,0,0,0,0,11,CHELLAM S
2021,Spring,CVEN-406-500,10,9,4,0,0,23,3.26,0,0,0,0,0,23,CHU K
2021,Spring,CVEN-413-500,10,3,2,1,0,16,3.375,0,0,0,0,0,16,YING Q
2021,Spring,CVEN-418-500,8,1,1,0,0,10,3.7,0,0,0,0,0,10,ZOLLINGER D
2021,Spring,CVEN-423-500,9,6,5,0,0,20,3.2,0,0,0,2,0,22,OLIVERA F
2021,Spring,CVEN-424-901,15,1,0,0,0,16,3.937,0,0,0,0,0,16,SCARFUTO J
2021,Spring,CVEN-424-902,6,0,0,0,0,6,4,0,0,0,0,0,6,SCARFUTO J
2021,Spring,CVEN-424-903,16,1,0,0,0,17,3.941,0,0,0,0,0,17,ENGLAND P
2021,Spring,CVEN-424-904,16,1,0,0,0,17,3.941,0,0,0,0,0,17,ENGLAND P
2021,Spring,CVEN-424-905,13,0,1,0,0,14,3.857,0,0,0,0,0,14,ENGLAND P
2021,Spring,CVEN-444-501,19,21,23,0,0,63,2.936,0,0,0,2,0,65,SIDERIS P
2021,Spring,CVEN-444-502,23,11,6,1,1,42,3.285,0,0,0,1,0,43,SKILLEN K
2021,Spring,CVEN-445-500,22,9,3,2,0,36,3.416,0,0,0,1,0,37,BIRELY A
